v,Cs_C,Cs_Mn,T
0.0006000000000000001,0.0019048493656567498,0.0037636512549829777,1790.0180709196848
0.0011,0.0019089681196093333,0.0037643608125777404,1789.974861493483
0.0016,0.0019130838027220107,0.0037650696964229083,1789.9317910841353
0.0021000000000000003,0.0019171964142310953,0.003765777906987908,1789.8888589923333
0.0026000000000000003,0.0019213059534121542,0.0037664854447454947,1789.8460645235682
0.0031000000000000003,0.0019254124195793223,0.003767192310171521,1789.8034069880707
0.0036000000000000003,0.001929515812085283,0.003767898503745281,1789.7608857008113
0.0041,0.001933616130320303,0.0037686040259491366,1789.7184999813956
0.0046,0.0019377133737122723,0.0037693088772684925,1789.6762491540812
0.0051,0.0019418075417261672,0.0037700130581919864,1789.6341325477185
0.005600000000000001,0.0019458986338634523,0.0037707165692112787,1789.592149495691
0.006100000000000001,0.0019499866496619862,0.003771419410820999,1789.5502993359182
0.006600000000000002,0.001954071588695444,0.0037721215835187444,1789.5085814107854
0.007100000000000002,0.0019581534505728007,0.003772823087804976,1789.4669950671016
0.007600000000000003,0.001962232234938157,0.003773523924183097,1789.4255396560714
0.008100000000000003,0.0019663079414703583,0.0037742240931593683,1789.3842145332808
0.008600000000000003,0.001970380569882441,0.0037749235952428393,1789.3430190586198
0.009100000000000004,0.0019744501199213497,0.0037756224309452723,1789.3019525962693
0.009600000000000004,0.001978516591367562,0.00377632060078116,1789.2610145146546
0.010100000000000005,0.0019825799840348067,0.0037770181052676315,1789.220204186427
0.010600000000000005,0.001986640297769446,0.003777714944924684,1789.1795209884006
0.011100000000000006,0.001990697532450426,0.003778411120274567,1789.1389643015407
0.011600000000000006,0.00199475168798867,0.0037791066318424204,1789.098533510915
0.012100000000000007,0.0019988027643269637,0.003779801480155676,1789.0582280056824
0.012600000000000007,0.0020028507614392394,0.0037804956657444557,1789.0180471790052
0.013100000000000007,0.00200689567933067,0.003781189189141141,1788.9779904280786
0.013600000000000008,0.0020109375180369666,0.0037818820508806364,1788.9380571540535
0.014100000000000008,0.002014976277624301,0.0037825742515002815,1788.898246762029
0.014600000000000009,0.002019011958188902,0.003783265791539689,1788.8585586610195
0.01510000000000001,0.0020230445598564384,0.003783956671540838,1788.8189922638776
0.01560000000000001,0.0020270740827821295,0.00378464689204797,1788.7795469873165
0.01610000000000001,0.0020311005271503274,0.003785336453607529,1788.7402222518795
0.01660000000000001,0.0020351238931738255,0.0037860253567681855,1788.7010174818454
0.01710000000000001,0.0020391441810940114,0.003786713602080906,1788.6619321052688
0.01760000000000001,0.0020431613911803,0.003787401190098618,1788.6229655539055
0.018100000000000012,0.002047175523729851,0.003788088121376548,1788.584117263197
0.018600000000000012,0.002051186579067399,0.0037887743964719073,1788.5453866722496
0.019100000000000013,0.0020551945575446617,0.0037894600159439165,1788.5067732237703
0.019600000000000013,0.002059199459540413,0.003790144980353984,1788.468276364085
0.020100000000000014,0.0020632012854598833,0.003790829290265279,1788.4298955430681
0.020600000000000014,0.0020672000357346,0.003791512946243192,1788.391630214134
0.021100000000000015,0.0020711957108220103,0.003792195948854822,1788.3534798341927
0.021600000000000015,0.0020751883112055257,0.0037928782986693015,1788.3154438636777
0.022100000000000015,0.002079177837393635,0.003793559996257511,1788.2775217664073
0.022600000000000016,0.002083164289920101,0.003794241042192277,1788.2397130096579
0.023100000000000016,0.0020871476693436553,0.0037949214370482727,1788.2020170641094
0.023600000000000017,0.002091127976247418,0.0037956011814017556,1788.1644334037758
0.024100000000000017,0.0020951052112389216,0.003796280275830954,1788.1269615060346
0.024600000000000018,0.0020990793749497633,0.003796958720915807,1788.0896008515754
0.025100000000000018,0.002103050468035154,0.00379763651723775,1788.0523509243442
0.02560000000000002,0.0021070184911741144,0.003798313665380109,1788.0152112116
0.02610000000000002,0.002110983445068611,0.0037989901659277723,1787.9781812037847
0.02660000000000002,0.002114945330443767,0.0037996660194671837,1787.9412603945684
0.02710000000000002,0.0021189041480474172,0.0038003412265865187,1787.9044482808079
0.02760000000000002,0.0021228598986498524,0.0038010157878754,1787.867744362505
0.02810000000000002,0.002126812583043655,0.0038016897039250207,1787.8311481428016
0.02860000000000002,0.002130762202043331,0.003802362975328137,1787.7946591279344
0.02910000000000002,0.002134708756485144,0.0038030356026789304,1787.7582768272316
0.029600000000000022,0.0021386522472268956,0.003803707586573073,1787.722000753075
0.030100000000000023,0.0021425926751475898,0.0038043789276077217,1787.685830420873
0.030600000000000023,0.002146530041147377,0.003805049626381311,1787.6497653490624
0.031100000000000023,0.002150464346147093,0.00380571968349382,1787.613805059045
0.031600000000000024,0.002154395591088179,0.0038063890995464673,1787.5779490751927
0.032100000000000024,0.002158323776932357,0.003807057875141938,1787.5421969248102
0.032600000000000025,0.0021622489046614997,0.00380772601088419,1787.506548138122
0.033100000000000025,0.0021661709752773843,0.00380839350737836,1787.471002248249
0.033600000000000026,0.002170089989801347,0.0038090603652310446,1787.4355587911675
0.034100000000000026,0.0021740059492743294,0.003809726585049972,1787.4002173057215
0.03460000000000003,0.002177918854756325,0.0038103921674441633,1787.3649773335658
0.03510000000000003,0.0021818287073264134,0.0038110571130237766,1787.3298384191582
0.03560000000000003,0.0021857355080824167,0.0038117214224001853,1787.2948001097398
0.03610000000000003,0.0021896392581408986,0.0038123850961859253,1787.2598619553253
0.03660000000000003,0.002193539958636542,0.00381304813499472,1787.22502350864
0.03710000000000003,0.0021974376107223607,0.003813710539441321,1787.1902843251446
0.03760000000000003,0.002201332215569353,0.0038143723101416818,1787.1556439629983
