v,Cs_C,Cs_Mo,Cs_Mn,Cs_Si,T
0.0006000000000000001,0.004797376866720791,0.007893682719909841,0.0035038187314375985,0.003282771594935387,1765.784980591008
0.0011,0.004804881290224948,0.007897532357981721,0.0035046831581518577,0.003283800305632217,1765.7828453054103
0.0016,0.004812375596883784,0.00790137597956488,0.0035055462355265852,0.0032848277355405583,1765.7806837062578
0.0021000000000000003,0.004819859809322989,0.007905213601214014,0.0035064079665087225,0.0032858538871186277,1765.7784961505322
0.0026000000000000003,0.004827333946629528,0.007909045234973943,0.0035072683542759493,0.003286878762697358,1765.77628248988
0.0031000000000000003,0.00483479803181275,0.007912870898071198,0.0035081274017406557,0.0032879023646705543,1765.774043151723
0.0036000000000000003,0.004842252083846019,0.007916690602359831,0.003508985112048186,0.0032889246953999663,1765.7717779918862
0.0041,0.004849696125084382,0.007920504364255676,0.0035098414881216755,0.0032899457573246377,1765.769487350409
0.0046,0.0048571301758536,0.00792431219746739,0.00351069653300578,0.00329096555273524,1765.7671713017264
0.0051,0.004864554257425153,0.007928114117067684,0.0035115502496451774,0.0032919840840680732,1765.7648300486376
0.005600000000000001,0.004871968389113387,0.00793191013549602,0.0035124026411810848,0.0032930013535894987,1765.7624635308534
0.006100000000000001,0.004879372592914435,0.007935700268841607,0.0035132537104017925,0.003294017363691793,1765.7600720647224
0.006600000000000002,0.004886766888906641,0.00793948453065413,0.0035141034604251825,0.0032950321167555625,1765.7576557224845
0.007100000000000002,0.004894151298192702,0.007943262935824699,0.003514951894080339,0.0032960456150811454,1765.7552147213285
0.007600000000000003,0.0049015258398849735,0.007947035496732582,0.003515799014492778,0.0032970578609710617,1765.7527489935073
0.008100000000000003,0.004908890535611209,0.007950802228919364,0.0035166448244655633,0.0032980688567658565,1765.7502588389714
0.008600000000000003,0.004916245405306674,0.007954563146079535,0.0035174893270481004,0.0032990786048833647,1765.7477443418236
0.009100000000000004,0.004923590469411569,0.007958318262217181,0.0035183325250393205,0.0033000871074693916,1765.7452056439759
0.009600000000000004,0.004930925747903836,0.00796206759091554,0.003519174421486184,0.0033010943669488074,1765.7426428452254
0.010100000000000005,0.004938251261183557,0.007965811146486545,0.0035200150192221595,0.0033021003855903553,1765.7400560997398
0.010600000000000005,0.004945567029179673,0.007969548942487005,0.0035208543211689074,0.003303105165712165,1765.73744551693
0.011100000000000006,0.004952873072213249,0.007973280992954423,0.003521692330226696,0.003304108709576926,1765.73481124915
0.011600000000000006,0.00496016940998453,0.007977007311331703,0.003522529049306225,0.003305111019465333,1765.7321533929635
0.012100000000000007,0.004967456062576576,0.007980727911519348,0.0035233644812922385,0.003306112097685265,1765.7294720913492
0.012600000000000007,0.004974733049803388,0.007984442806995676,0.003524198628985887,0.0033071119465191497,1765.7267674528982
0.013100000000000007,0.004982000391661129,0.007988152011543662,0.0035250314953073542,0.003308110568207747,1765.7240396287605
0.013600000000000008,0.004989258107714166,0.007991855538720019,0.0035258630830513962,0.003309107964971727,1765.7212887282062
0.014100000000000008,0.004996506217739834,0.007995553401771965,0.003526693395156178,0.0033101041391920202,1765.7185148542528
0.014600000000000009,0.005003744741408702,0.00799924561441328,0.003527522434380094,0.0033110990929806298,1765.7157181565785
0.01510000000000001,0.005010973698336087,0.008002932189938246,0.0035283502036046886,0.0033120928287327105,1765.712898739777
0.01560000000000001,0.005018193108115644,0.0080066131419204,0.0035291767055963233,0.003313085348586707,1765.7100567461484
0.01610000000000001,0.005025402990056471,0.008010288483414474,0.0035300019432137285,0.003314076654819639,1765.7071922659982
0.01660000000000001,0.00503260336374702,0.008013958227796616,0.0035308259192463978,0.003315066749607169,1765.7043054365035
0.01710000000000001,0.005039794248535403,0.008017622388483357,0.0035316486364630286,0.003316055635250738,1765.7013963759287
0.01760000000000001,0.005046975663679363,0.008021280978393502,0.003532470097701549,0.0033170433139251185,1765.6984651927453
0.018100000000000012,0.005054147628458904,0.008024934010870795,0.003533290305687302,0.0033180297878328633,1765.6955120091718
0.018600000000000012,0.005061310162225829,0.00802858149908317,0.003534109263264315,0.0033190150592278824,1765.6925369566786
0.019100000000000013,0.005068463283854473,0.008032223455738894,0.003534926973134665,0.0033199991302805443,1765.6895401148051
0.019600000000000013,0.0050756070127103686,0.008035859894258077,0.003535743438081993,0.003320982003215719,1765.6865216344863
0.020100000000000014,0.00508274136765522,0.008039490827383934,0.0035365586608575813,0.0033219636802048103,1765.683481608853
0.020600000000000014,0.005089866367889146,0.008043116268210667,0.0035373726441671467,0.003322944163405682,1765.6804201709529
0.021100000000000015,0.005096982032186428,0.008046736229548766,0.0035381853907615743,0.003323923455068719,1765.6773374171203
0.021600000000000015,0.005104088379408213,0.008050350724131381,0.0035389969033963803,0.003324901557313745,1765.6742334593973
0.022100000000000015,0.00511118542850929,0.008053959765006797,0.003539807184743356,0.0033258784723482183,1765.6711084198073
0.022600000000000016,0.005118273198242661,0.008057563364854081,0.003540616237540575,0.0033268542023568125,1765.6679624178662
0.023100000000000016,0.00512535170720659,0.008061161536180661,0.0035414240645071683,0.0033278287494587847,1765.6647955319845
0.023600000000000017,0.00513242097425094,0.008064754291974379,0.003542230668266795,0.0033288021157988176,1765.6616079074583
0.024100000000000017,0.005139481017914025,0.008068341644731379,0.0035430360515685978,0.003329774303574259,1765.6583996366426
0.024600000000000018,0.00514653185670852,0.00807192360707919,0.0035438402170704757,0.003330745314888661,1765.655170825138
0.025100000000000018,0.005153573509273058,0.008075500191550752,0.0035446431674344267,0.0033317151519248254,1765.6519215975752
