v,R_scaled,T_scaled,cl_C,cl_Mo,cl_Mn,cl_Si,cs_C,cs_Mo,cs_Mn,cs_Si,R,T,DT
0.0001,0.9656773229761605,0.999274698265233,0.016730068221443524,0.01310379172467876,0.004595613999033897,0.005001687366056516,0.0026257377436915484,0.009482650715092534,0.003371356164065202,0.0034985663104860404,9.656773229761604e-07,1770.6048451091838,1.2851548908163295
0.00030000000000000003,0.5425192657983762,0.9988831033275155,0.0170140795280677,0.013175361812119243,0.004619414222868571,0.005030822369448881,0.0026696099902316353,0.009515456731101907,0.003388791302274553,0.0035213558672169886,5.425192657983762e-07,1769.9109819549915,1.9790180450086154
0.0005,0.41568345469857987,0.9986356306725255,0.017190175080755783,0.01321930411211312,0.004633893139572005,0.005048514737657126,0.002696889998374155,0.009535457593234098,0.003399431460124538,0.003535295597667795,4.1568345469857985e-07,1769.4724876323412,2.417512367658901
0.0007,0.34872641533049087,0.9984442825858416,0.017324500495938137,0.01325260596630463,0.004644797267815928,0.005061821679380274,0.0027177492345247297,0.009550552496033721,0.003407465304721093,0.0035458366515780364,3.4872641533049086e-07,1769.133439871027,2.756560128973206
0.0009,0.30576496155793387,0.9982846281840655,0.017435351056629442,0.013279948754374094,0.004653705428996379,0.005072681225319859,0.0027350007016879387,0.009562910103096702,0.0034140437692515607,0.0035544782041502516,3.0576496155793383e-07,1768.850549833064,3.039450166936149
0.0011,0.27522795113867066,0.9981458438465795,0.017530803924361425,0.013303393946126724,0.004661311364870105,0.005081944672744171,0.0027498861872608522,0.009573482841189758,0.0034196726171323755,0.003561879468238146,2.7522795113867066e-07,1768.6046392533158,3.2853607466843187
0.0031000000000000003,0.15908123644900754,0.9972362636112406,0.0181353818094377,0.013449808621630083,0.004708120460873651,0.005138761824201142,0.002844995437033195,0.009639168349447245,0.003454626565983651,0.003607983274747008,1.5908123644900754e-07,1766.9929631301213,4.897036869878775
0.0051,0.12174952836306333,0.9966551439509329,0.018502316725118657,0.013536967516484871,0.004735405962759328,0.0051717075948997495,0.002903641965114979,0.00967817400880778,0.003475335533954848,0.0036354093622651628,1.2174952836306333e-07,1765.9632830152186,5.9267169847814785
0.0071,0.10172557359107984,0.9962028231798183,0.01877732195057124,0.013601465111504252,0.004755309826290257,0.00519564734039659,0.002948206066456755,0.009707114594724913,0.0034906557319135277,0.003655748079411423,1.0172557359107983e-07,1765.1618203640885,6.7281796359116015
0.0091,0.08879112703962663,0.9958231595232149,0.019000906969375824,0.013653385233192029,0.004771150349852549,0.005214637835547216,0.002984904679894127,0.009730522489050037,0.0035030081765977023,0.003672175209413544,8.879112703962662e-08,1764.4890981275894,7.400901872410714
0.0111,0.07956550128103101,0.9954912325732299,0.019190921367334173,0.01369714418607613,0.004784372258642534,0.005230443428234489,0.0030164752382699747,0.00975036852486034,0.00351344715232769,0.0036860759575318815,7.956550128103102e-08,1763.9009600841805,7.989039915819603
0.0211,0.05546331836046793,0.9942148446790364,0.019873853009357206,0.013851597844051251,0.004830063502037341,0.005284699440807183,0.0031336271086404837,0.009821861975942313,0.0035507073946589203,0.0037358080456388965,5.546331836046793e-08,1761.6393411383378,10.25065886166226
0.031100000000000003,0.04435082496053231,0.9932580436680553,0.020336237876743157,0.013953551548682415,0.004859341665996134,0.005319115227339991,0.0032173146979039852,0.009871083590946185,0.003575940875180442,0.0037695621779470414,4.4350824960532306e-08,1759.9439949949906,11.94600500500951
0.041100000000000005,0.03764249874386162,0.9924605397332422,0.0206898249781471,0.014029963941319588,0.004880787748762284,0.005344111872332345,0.0032845946686685906,0.009909678551609813,0.003595416596166997,0.0037956338268419106,3.764249874386162e-08,1758.5309057479346,13.35909425206546
0.051100000000000007,0.033041785701919,0.9917612410989256,0.020976775898675436,0.014090892633731858,0.004897559084543328,0.005363511595278639,0.0033418818568497367,0.009941922057833343,0.0036114428932258694,0.003817087864106137,3.3041785701919e-08,1757.2918254907754,14.598174509224691
0.06110000000000001,0.029639646747072156,0.9911294951104179,0.021218106669361213,0.014141309362649512,0.004911199029452586,0.0053791776006342626,0.0033923643874484515,0.009969900628042584,0.0036251489390795805,0.003835427487818706,2.9639646747072156e-08,1756.1724410911986,15.717558908801493
0.07110000000000001,0.026995064954594538,0.9905474797150582,0.02142597971612794,0.0141840719342451,0.00492258607513579,0.005392167732407176,0.003437882086769344,0.009994800542844106,0.0036371779585406615,0.003851510888683133,2.6995064954594536e-08,1755.1411738323145,16.748826167685593
0.0811,0.0248649374846552,0.9900038150573068,0.021608134600592452,0.014220988461186702,0.004932271133242255,0.005403143768545254,0.0034796025350769034,0.010017365080776474,0.003647933652493098,0.0038658777372898735,2.48649374846552e-08,1754.1778598618914,17.71214013810868
0.0911,0.023102869076148547,0.9894907445874181,0.02176983324686424,0.01425328205875615,0.0049406238371788366,0.005412548692961256,0.003518317437890448,0.010038092623594331,0.0036576871191825572,0.0038788910767664354,2.3102869076148546e-08,1753.2687554270005,18.621244572999558
