,v,R,T,kv_C,kv_Mn,kv_Al,clstar_C,clstar_Mn,clstar_Al
0,5e-05,9.170717340383461e-06,1770.273257354812,0.27164855676288246,0.7065195653623092,0.9295046996866876,0.0025690975610136112,0.005186354656448838,0.01714800371534817
1,0.00055,1.6304564991527679e-06,1777.3117855334342,0.27213376856971555,0.7067150756112185,0.9295516621144495,0.002712179157006293,0.005292647495682389,0.01722882769251598
2,0.0010500000000000002,1.148530423870869e-06,1777.0249855144577,0.2726183343319353,0.7069103255442379,0.9295985620131815,0.002798363454207912,0.005353319141518261,0.017273850923791603
3,0.0015500000000000002,9.327362921031954e-07,1776.679930074813,0.27310225533896615,0.707105315680926,0.9296453995076841,0.002859592217324946,0.005394991219596523,0.01730432125056269
4,0.00205,8.038775885019152e-07,1776.3652937843904,0.27358553287680343,0.7073000465394589,0.9296921747224255,0.0029081731222500525,0.005427246106016605,0.017327657000646174
5,0.00255,7.15991528009617e-07,1776.083649506145,0.2740681682280247,0.7074945186366354,0.9297388877815427,0.0029489055724247386,0.005453756654045877,0.01734667661264776
6,0.00305,6.512090420181418e-07,1775.8299003067361,0.2745501626718013,0.7076887324878827,0.9297855388088441,0.0029842158573089098,0.005476355252852316,0.017362776828655647
7,0.00355,6.00949420111384e-07,1775.5990648579277,0.2750315174839095,0.7078826886072591,0.9298321279278084,0.003015519445642623,0.005496099107570652,0.017376759039100194
8,0.00405,5.605142274213417e-07,1775.387157109571,0.2755122339367416,0.7080763875074596,0.9298786552615873,0.0030437218444749692,0.005513658009672785,0.017389128525505365
9,0.00455,5.27087481967345e-07,1775.1910859396003,0.2759923132993175,0.7082698296998211,0.9299251209330064,0.00306944105285426,0.005529485129104631,0.017400225693312704
10,0.005050000000000001,4.988657313965925e-07,1775.0084463554228,0.2764717568372956,0.708463015694325,0.9299715250645654,0.0030931196249636365,0.005543902424258163,0.017410291452459644
11,0.005550000000000001,4.746337256913911e-07,1774.8373437143619,0.27695056581298394,0.7086559459996029,0.9300178677784394,0.003115086489528001,0.005557147448766774,0.017419502927126705
12,0.0060500000000000016,4.5353889929199423e-07,1774.6762635710077,0.2774287414853515,0.7088486211229417,0.9300641491964817,0.0031355934857808534,0.005569400848676513,0.017427994369648658
13,0.006550000000000002,4.349632177924559e-07,1774.5239779583212,0.277906285110039,0.7090410415702862,0.9301103694402222,0.0031548381605662574,0.005580803424296145,0.01743587010092098
14,0.0070500000000000024,4.1844632785320687e-07,1774.379477869209,0.27838319793936994,0.7092332078462452,0.9301565286308697,0.003172978631273964,0.005591467196211846,0.017443212881338405
15,0.007550000000000003,4.036373869265038e-07,1774.2419241129323,0.2788594812223616,0.7094251204540954,0.9302026268893142,0.0031901436341279714,0.005601482850115791,0.017450089528664035
16,0.008050000000000003,3.9026372909231503e-07,1774.1106110570709,0.2793351362047358,0.7096167798957853,0.9302486643361256,0.003206439528121478,0.005610924902118915,0.017456554806777668
17,0.008550000000000004,3.781098293248979e-07,1773.9849394901837,0.2798101641289302,0.7098081866719398,0.9302946410915561,0.003221955305779054,0.005619855377943836,0.01746265418953999
18,0.009050000000000004,3.670027924647096e-07,1773.8643960225709,0.2802845662341084,0.7099993412818655,0.9303405572755418,0.0032367662596254915,0.005628326493813441,0.017468425870538058
19,0.009550000000000005,3.5680210340369646e-07,1773.748537239482,0.2807583437561714,0.7101902442235535,0.930386413007702,0.0032509367182504247,0.00563638264903999,0.0174739022538888
20,0.010050000000000005,3.473922349483647e-07,1773.6369773575811,0.2812314979277679,0.7103808959936846,0.9304322084073415,0.0032645221236130327,0.005644061933073035,0.017479111079644893
21,0.010550000000000006,3.3867721752947577e-07,1773.5293784974972,0.2817040299783052,0.710571297087634,0.9304779435934522,0.00327757063268797,0.005651397283177557,0.0174840762867375
22,0.011050000000000006,3.305765839365924e-07,1773.4254429354432,0.28217594113395966,0.7107614479994745,0.930523618684712,0.003290124369413497,0.00565841738613225,0.01748881868393945
23,0.011550000000000006,3.2302229582867785e-07,1773.3249068700065,0.2826472326176876,0.7109513492219814,0.9305692337994877,0.003302220415403171,0.005665147389332617,0.017493356478119223
24,0.012050000000000007,3.1595638307110983e-07,1773.2275353615867,0.2831179056492356,0.7111410012466374,0.9306147890558363,0.0033138916027364252,0.005671609467945913,0.017497705694880582
25,0.012550000000000007,3.0932910853086527e-07,1773.133118188474,0.28358796144515114,0.7113304045636353,0.9306602845715036,0.003325167154896066,0.005677823281948403,0.017501880517000475
26,0.013050000000000008,3.0309752548439096e-07,1773.041466427394,0.284057401218793,0.7115195596618832,0.9307057204639275,0.00333607320964899,0.005683806347824681,0.017505893559260223
27,0.013550000000000008,2.9722433216870647e-07,1772.9524096107314,0.28452622618034185,0.7117084670290093,0.930751096850239,0.0033466332493201846,0.005689574343504323,0.017509756093582126
28,0.014050000000000009,2.916769537673017e-07,1772.865793347322,0.2849944375368104,0.7118971271513646,0.9307964138472614,0.003356868457592373,0.0056951413604839265,0.017513478234909046
29,0.014550000000000009,2.864268003717326e-07,1772.78147731823,0.28546203649205415,0.7120855405140278,0.9308416715715125,0.0033667980175708366,0.0057005201138339585,0.017517069095819085
30,0.01505000000000001,2.8144866237216683e-07,1772.6993335789853,0.2859290242467813,0.7122737076008104,0.9308868701392066,0.0033764393623496075,0.00570572211825469,0.017520536915972697
31,0.01555000000000001,2.767202142286308e-07,1772.6192451129289,0.28639540199856317,0.7124616288942591,0.9309320096662531,0.003385808387040011,0.005710757836641792,0.01752388917120346
