,v,R,T,kv_C,kv_Mo,kv_Mn,kv_Si,clstar_C,clstar_Mo,clstar_Mn,clstar_Si
983,0.49155000000000043,6.15696430189719e-08,1740.4802343367041,0.5736981998308567,0.765494744472635,0.8528452337803551,0.7843421529539688,0.005268878737399934,0.027473809457635993,0.0050898506522524985,0.0030114506109917365
984,0.49205000000000043,6.157788237583383e-08,1740.4767052566522,0.5738698120043478,0.7655891469747597,0.8529044724447487,0.7844289682379937,0.0052683684598644285,0.02747261688056248,0.005089722795411204,0.0030113325455756483
985,0.49255000000000043,6.158617926470908e-08,1740.4731809299785,0.5740412860649473,0.7656834735020724,0.8529636634340672,0.7845157136533744,0.0052678583606128255,0.027471424592744646,0.005089594964906137,0.0030112145078039663
986,0.49305000000000043,6.159453369075839e-08,1740.4696613487426,0.5742126221793172,0.7657777241462533,0.8530228068058406,0.7846023892844216,0.005267348440356863,0.027470232595959498,0.005089467160930974,0.003011096497853329
987,0.49355000000000043,6.16029456659493e-08,1740.4661465049257,0.5743838205138516,0.765871898998834,0.8530819026175064,0.7846889952153111,0.005266838699854501,0.02746904089209285,0.005089339383691085,0.0030109785159111503
988,0.49405000000000043,6.161141520240456e-08,1740.4626363905427,0.5745548812346772,0.7659659981511997,0.8531409509264096,0.7847755315300832,0.005266329139857183,0.027467849483015994,0.005089211633390316,0.003010860562163414
989,0.49455000000000043,6.161994230796417e-08,1740.4591309977175,0.5747258045076534,0.7660600216945884,0.8531999517898035,0.7848619983126431,0.005265819761074925,0.02746665837050408,0.005089083910222227,0.003010742636786592
990,0.49505000000000043,6.162852699727885e-08,1740.4556303184954,0.5748965904983737,0.7661539697200918,0.8532589052648488,0.7849483956467612,0.005265310564263816,0.027465467556440748,0.005088956214392042,0.0030106247399679016
991,0.49555000000000043,6.163716928071649e-08,1740.4521343450303,0.5750672393721651,0.7662478423186545,0.8533178114086148,0.7850347236160734,0.005264801550138597,0.02746427704261364,0.00508882854609472,0.003010506871885061
992,0.49605000000000044,6.16458691732389e-08,1740.4486430694355,0.5752377512940895,0.7663416395810764,0.8533766702780788,0.7851209823040811,0.005264292719442552,0.027463086830877875,0.005088700905532483,0.0030103890327224797
993,0.49655000000000044,6.16546266855238e-08,1740.4451564839305,0.575408126428944,0.7664353615980105,0.8534354819301272,0.7852071717941519,0.005263784072877753,0.027461896922992904,0.005088573292897321,0.003010271222655095
994,0.49705000000000044,6.166344183062354e-08,1740.4416745807318,0.5755783649412615,0.7665290084599655,0.8534942464215548,0.78529329216952,0.005263275611157435,0.027460707320744963,0.005088445708384125,0.0030101534418605063
995,0.49755000000000044,6.167231462618737e-08,1740.4381973520165,0.5757484669953109,0.7666225802573043,0.8535529638090656,0.785379343513286,0.005262767335023299,0.02745951802598762,0.005088318152195033,0.003010035690522983
996,0.49805000000000044,6.168124508335887e-08,1740.4347247901023,0.5759184327550981,0.7667160770802454,0.8536116341492729,0.7854653259084172,0.005262259245158638,0.02745832904043847,0.00508819062451763,0.0030099179688133386
997,0.49855000000000044,6.169023322010003e-08,1740.4312568872333,0.5760882623843661,0.766809499018862,0.8536702574986986,0.785551239437748,0.005261751342292605,0.027457140365923127,0.005088063125551109,0.003009800276913086
998,0.49905000000000044,6.169927905230903e-08,1740.4277936357203,0.5762579560465956,0.7669028461630841,0.8537288339137746,0.78563708418398,0.005261243627130745,0.027455952004212643,0.005087935655488844,0.0030096826149983453
999,0.49955000000000044,6.170838259381839e-08,1740.4243350279432,0.5764275139050059,0.766996118602697,0.8537873634508424,0.7857228602296827,0.00526073610035512,0.027454763957023804,0.005087808214518413,0.0030095649832398647
1000,0.5000500000000004,6.17175438608385e-08,1740.4208810562789,0.5765969361225552,0.7670893164273429,0.8538458461661532,0.7858085676572937,0.005260228762658977,0.027453576226100243,0.005087680802830298,0.003009447381811058
1001,0.5005500000000004,6.172676287418206e-08,1740.4174317130644,0.5767662228619409,0.7671824397265203,0.8539042821158689,0.7858942065491183,0.005259721614763938,0.02745238881325271,0.00508755342062221,0.0030093298108919914
1002,0.5010500000000003,6.173603964815169e-08,1740.4139869907763,0.5769353742856002,0.7672754885895847,0.8539626713560609,0.7859797769873306,0.005259214657333695,0.027451201720157005,0.005087426068077408,0.003009212270649373
1003,0.5015500000000003,6.174537420387586e-08,1740.4105468818163,0.5771043905557109,0.7673684631057489,0.8540210139427109,0.786065279053973,0.005258707891077596,0.0274500149485965,0.005087298745390723,0.0030090947612605684
1004,0.5020500000000002,6.175476655819492e-08,1740.4071113786897,0.577273271834192,0.7674613633640829,0.8540793099317119,0.7861507128309572,0.005258201316664429,0.02744882850026029,0.005087171452746889,0.0030089772828936125
1005,0.5025500000000002,6.176421672810603e-08,1740.4036804739312,0.5774420182827034,0.7675541894535148,0.854137559378867,0.7862360784000638,0.005257694934756999,0.027447642376824052,0.0050870441903292365,0.0030088598357152206
1006,0.5030500000000001,6.177372473966122e-08,1740.4002541599705,0.5776106300626471,0.7676469414628306,0.8541957623398906,0.7863213758429431,0.005257188746080783,0.027446456580110978,0.0050869169583369405,0.0030087424199067157
1007,0.50355,6.178329060572592e-08,1740.3968324294744,0.5777791073351681,0.7677396194806748,0.8542539188704079,0.7864066052411152,0.005256682751252216,0.027445271111689467,0.00508678975694187,0.0030086250356242007
1008,0.50405,6.17929143526709e-08,1740.393415274935,0.5779474502611538,0.7678322235955504,0.8543120290259557,0.7864917666759698,0.00525617695098471,0.027444085973355754,0.005086662586340364,0.0030085076830463414
1009,0.5045499999999999,6.180259600035289e-08,1740.3900026889794,0.5781156590012354,0.7679247538958192,0.8543700928619823,0.7865768602287672,0.005255671345934227,0.02744290116677216,0.005086535446714416,0.0030083903623385495
1010,0.5050499999999999,6.18123355687871e-08,1740.3865946642652,0.5782837337157881,0.7680172104697024,0.8544281104338471,0.7866618859806381,0.005255165936750836,0.027441716693587793,0.005086408338244633,0.003008273073664935
1011,0.5055499999999998,6.182213308259988e-08,1740.3831911934117,0.5784516745649316,0.7681095934052805,0.854486081796822,0.786746844012584,0.005254660724112877,0.027440532555518697,0.005086281261118824,0.0030081558171962397
1012,0.5060499999999998,6.18319885621257e-08,1740.3797922691388,0.5786194817085306,0.7682019027904939,0.8545440070060903,0.7868317344054774,0.00525415570865862,0.027439348754187624,0.005086154215514817,0.003008038593093974
1013,0.5065499999999997,6.184190203008483e-08,1740.376397884162,0.5787871553061954,0.768294138713143,0.854601886116748,0.7869165572400619,0.005253650891037573,0.02743816529124429,0.0050860272016133535,0.003007921401522323
1014,0.5070499999999997,6.18518735138122e-08,1740.3730080311607,0.5789546955172824,0.7683863012608885,0.8546597191838031,0.787001312596953,0.005253146271927422,0.02743698216840512,0.005085900219602364,0.0030078042426520827
1015,0.5075499999999996,6.18619030363507e-08,1740.3696227029116,0.5791221025008945,0.7684783905212516,0.8547175062621762,0.7870860005566377,0.0052526418519659255,0.02743579938729356,0.005085773269659823,0.003007687116644848
1016,0.5080499999999996,6.187199062090357e-08,1740.3662418922222,0.5792893764158815,0.7685704065816142,0.8547752474067006,0.7871706211994752,0.005252137631785073,0.027434616949520152,0.005085646351962346,0.0030075700236609393
1017,0.5085499999999995,6.188213629306288e-08,1740.362865591896,0.5794565174208413,0.76866234952922,0.8548329426721225,0.7872551746056968,0.005251633612028066,0.027433434856722342,0.005085519466689459,0.003007452963863348
1018,0.5090499999999994,6.189234007858279e-08,1740.359493794767,0.5796235256741191,0.7687542194511734,0.8548905921131009,0.7873396608554066,0.005251129793332331,0.027432253110524656,0.005085392614019327,0.003007335937413791
1019,0.5095499999999994,6.19026020056087e-08,1740.356126493667,0.5797904013338094,0.7688460164344407,0.8549481957842084,0.7874240800285814,0.005250626176346461,0.027431071712578418,0.005085265794133018,0.003007218944476644
1020,0.5100499999999993,6.191292210022025e-08,1740.3527636814902,0.5799571445577554,0.7689377405658504,0.8550057537399307,0.787508432205071,0.005250122761696363,0.027429890664482374,0.005085139007205976,0.0030071019852110797
1021,0.5105499999999993,6.192330038642955e-08,1740.3494053511924,0.5801237555035498,0.769029391932093,0.8550632660346672,0.7875927174645986,0.005249619549985385,0.02742870996778292,0.005085012253408053,0.0030069850597710945
1022,0.5110499999999992,6.193373689733069e-08,1740.3460514956294,0.5802902343285354,0.7691209706197215,0.8551207327227308,0.7876769358867608,0.0052491165418787344,0.027427529624172206,0.005084885532924772,0.0030068681683251223
1023,0.5115499999999992,6.194423165726236e-08,1740.3427021078169,0.5804565811898059,0.7692124767151518,0.8551781538583486,0.7877610875510282,0.0052486137379684095,0.027426349635171217,0.005084758845923301,0.00300675131102465
1024,0.5120499999999991,6.195478469741744e-08,1740.3393571807017,0.5806227962442055,0.7693039103046628,0.8552355294956616,0.7878451725367455,0.005248111138891368,0.02742517000240702,0.005084632192582225,0.0030066344880316765
1025,0.5125499999999991,6.196539604692334e-08,1740.3360167072938,0.5807888796483304,0.7693952714743968,0.8552928596887249,0.7879291909231315,0.005247608745262056,0.027423990727454457,0.005084505573074544,0.0030065176995030343
