,v,R,T,kv_C,kv_Mn,kv_Al,clstar_C,clstar_Mn,clstar_Al
0,5e-05,1.0947349473501631e-05,1785.407213432151,0.20593970301484923,0.7129143542822858,1.097995100244988,0.0026273150990396665,0.005205822890613872,0.016773627245530474
1,0.00055,2.127019843897285e-06,1791.8673430917274,0.20633651491679575,0.71305781819999,1.0979461296287043,0.0028383078281166113,0.005338880360164289,0.016639480420847206
2,0.0010500000000000002,1.4945050843560531e-06,1791.3260143755267,0.2067329304230558,0.7132011388042555,1.0978972079316718,0.0029531891610487648,0.0054058092249107854,0.01657526832438285
3,0.0015500000000000002,1.2108210253677091e-06,1790.799200587736,0.2071289501273027,0.7133443163097201,1.0978483350806252,0.003034626162175964,0.0054511172778773515,0.01653296694882188
4,0.00205,1.0414448194597908e-06,1790.3391085080943,0.2075245746220248,0.7134873509305922,1.097799511002445,0.0030992118972226154,0.005485864057119848,0.016501142362812048
5,0.00255,9.259824344906668e-07,1789.9344179442946,0.20791980449852873,0.7136302428806544,1.0977507356241585,0.0031533696882220085,0.005514228117554909,0.01647555022668957
6,0.00305,8.409236511928375e-07,1789.5730740570905,0.20831464034694183,0.7137729923732615,1.0977020088729377,0.003200335657601335,0.005538275955749429,0.01645411908779474
7,0.00355,7.749733286883603e-07,1789.2460561631235,0.20870908275621544,0.7139155996213443,1.0976533306761,0.003241993698270637,0.005559192082460186,0.016435674407832456
8,0.00405,7.219458548646525e-07,1788.9468013757134,0.20910313231412775,0.7140580648374084,1.0976047009611076,0.0032795471697078635,0.005577722982448136,0.01641948284161121
9,0.00455,6.781340526477896e-07,1788.6704628063767,0.20949678960728682,0.7142003882335374,1.0975561196555672,0.0033138164190028726,0.005594371453435525,0.016405054472954272
10,0.005050000000000001,6.41164036691176e-07,1788.4133793331002,0.20989005522113327,0.7143425700213919,1.0975075866872295,0.003345388373634065,0.005609493315242951,0.016392045137417256
11,0.005550000000000001,6.094364776346842e-07,1788.1727231506213,0.21028292973994334,0.7144846104122123,1.097459101983989,0.003374698944802484,0.0056233501907984535,0.01638020346748591
12,0.0060500000000000016,5.81829607669792e-07,1787.9462654790282,0.21067541374683166,0.7146265096168182,1.097410665473883,0.0034020816729100237,0.0056361404022882795,0.016369340081208803
13,0.006550000000000002,5.575304419377752e-07,1787.7322179924765,0.21106750782375439,0.7147682678456112,1.0973622770850928,0.0034277980520745453,0.005648018081412211,0.016359308629419558
14,0.0070500000000000024,5.359335682860217e-07,1787.5291230808357,0.21145921255151184,0.7149098853085746,1.0973139367459412,0.003452057285099628,0.0056591055286212754,0.01634999360081195
15,0.007550000000000003,5.165777117203126e-07,1787.335776194127,0.2118505285097514,0.7150513622152748,1.097265644384894,0.0034750296300723304,0.005669501506352485,0.016341302177810612
16,0.008050000000000003,4.99104474167468e-07,1787.1511697272817,0.21224145627697036,0.7151926987748622,1.097217399930559,0.0034968556978558964,0.005679286979189606,0.016333158624699227
17,0.008550000000000004,4.832306381849773e-07,1786.9744516851754,0.21263199643051905,0.7153338951960736,1.097169203311685,0.0035176531002904746,0.005688529193427498,0.016325500315947025
18,0.009050000000000004,4.6872906377757654e-07,1786.8048946993588,0.21302214954660323,0.7154749516872305,1.0971210544571628,0.003537521312580993,0.005697284643521152,0.016318274859666814
19,0.009550000000000005,4.5541519680598195e-07,1786.6418724350087,0.21341191620028727,0.7156158684562429,1.097072953296023,0.0035565453002688926,0.005705601272596507,0.016311437971831096
20,0.010050000000000005,4.4313734038137364e-07,1786.48484136697,0.21380129696549674,0.7157566457106083,1.0970248997574379,0.003574798271979833,0.005713520133720898,0.016304951877170522
21,0.010550000000000006,4.3176950927584234e-07,1786.3333265191889,0.21419029241502152,0.7158972836574142,1.096976893770719,0.0035923438010916843,0.0057210766638051665,0.01629878408714544
22,0.011050000000000006,4.2120609453651106e-07,1786.186910173188,0.21457890312051828,0.716037782503338,1.0969289352653184,0.003609237483640854,0.005728301674176611,0.016292906452826522
23,0.011550000000000006,4.113578204636076e-07,1786.0452228307417,0.2149671296525135,0.7161781424546488,1.0968810241708271,0.003625528249946302,0.005735222130552857,0.016287294421483432
24,0.012050000000000007,4.0214863978133895e-07,1785.9079359092061,0.2153549725804061,0.7163183637172076,1.0968331604169754,0.0036412594139293357,0.005741861774187747,0.01628192644634736
25,0.012550000000000007,3.935133202630876e-07,1785.774755783668,0.2157424324724705,0.7164584464964693,1.096785343933633,0.0036564695211559325,0.005748241621654849,0.016276783513081098
26,0.013050000000000008,3.8539554802128355e-07,1785.6454188867717,0.21612950989585905,0.7165983909974828,1.096737574650807,0.003671193040620394,0.00575438037079223,0.016271848756241995
27,0.013550000000000008,3.77746421689083e-07,1785.5196876477153,0.21651620541660502,0.7167381974248928,1.0966898524986435,0.0036854609338155793,0.005760294733256413,0.016267107145936602
28,0.014050000000000009,3.7052324580973314e-07,1785.3973471022898,0.21690251959962525,0.7168778659829396,1.0966421774074258,0.003699301126586078,0.005765999709146331,0.01626254522974149
29,0.014550000000000009,3.63688555648633e-07,1785.2782020445534,0.21728845300872307,0.7170173968754621,1.0965945493075748,0.003712738903164069,0.005771508815437819,0.016258150918577116
30,0.01505000000000001,3.572093227776274e-07,1785.162074618763,0.2176740062065908,0.7171567903058963,1.096546968129649,0.003725797237433792,0.00577683427729294,0.016253913307824747
31,0.01555000000000001,3.510563031426235e-07,1785.0488022718635,0.21805917975481268,0.7172960464772784,1.0964994338043426,0.003738497073145334,0.005781987189284844,0.01624982252693499
