v,R_scaled,T_scaled,cl_C,cl_Mn,cl_Al,cs_C,cs_Mn,cs_Al,R,T,DT
0.0001,2.654513240633772,1.0004510707195498,0.011221613505554229,0.005056738425545769,0.034389073818314284,0.0037654524761369245,0.0037846129330011834,0.03294609684006326,2.654513240633772e-06,1781.7833479301037,-0.803347930103655
0.00030000000000000003,1.4296424041046172,1.0002032648590151,0.01148880786972392,0.005100147157544622,0.03443394005937553,0.0038606660407136052,0.003817291291447369,0.033016149792335955,1.4296424041046172e-06,1781.3420106486087,-0.36201064860870247
0.0005,1.0848548368752953,1.0000465478014238,0.01165489349707454,0.005126508362331949,0.03445991129019142,0.003920097132874761,0.003837184891191668,0.03305807554965426,1.0848548368752953e-06,1781.0629007033797,-0.08290070337966426
0.0007,0.9056574960010911,0.9999263662841251,0.011780319372174159,0.005146108843539813,0.03447858679570247,0.003965125984371139,0.0038520081361364937,0.03308894767301272,9.056574960010911e-07,1780.848859824701,0.13114017529892408
0.0009,0.7915702388739747,0.9998268214572873,0.011882857901570096,0.005161939834915397,0.03449327079318871,0.0040020432489194365,0.0038640043329118486,0.03311369549928116,7.915702388739746e-07,1780.6715724789995,0.30842752100056714
0.0011,0.7108719152046851,0.9997408251779,0.011970426000935439,0.00517532407857782,0.03450540405086168,0.004033652503322885,0.003874165504734447,0.03313448835381984,7.10871915204685e-07,1780.5184148253363,0.4615851746636963
0.0031000000000000003,0.40683208094845863,0.9991881940730185,0.012509684978509806,0.0052550739965353515,0.03457225429350432,0.004230362531524267,0.003935208911178632,0.03325593555238967,4.068320809484586e-07,1779.5341898801646,1.4458101198354143
0.0051,0.31016781604430604,0.9988432391214643,0.012824867343520464,0.005299621789178383,0.03460544507145312,0.004347479128249849,0.003969852368849739,0.03332198920300313,3.10167816044306e-07,1778.9198320105456,2.060167989454385
0.0071,0.2585981841916544,0.9985780669057428,0.013055628346249674,0.005331297216887934,0.034627195447714074,0.004434581399548004,0.003994842783660368,0.033368208161075365,2.585981841916544e-07,1778.44756559779,2.5324344022101286
0.0091,0.22541930920587697,0.9983573224722154,0.013240021250905913,0.00535604186820517,0.03464310618300985,0.004505193366962887,0.004014635920264457,0.033403899824259405,2.2541930920587697e-07,1778.0544241765663,2.9255758234337463
0.0111,0.2018329069654866,0.9981654883691302,0.013394581943450026,0.005376396428007215,0.03465548029506151,0.004565195327320668,0.004031136939206582,0.03343299926704045,2.018329069654866e-07,1777.7127714756537,3.267228524346365
0.0211,0.14065446549589886,0.9974353610896671,0.013935407307184795,0.005444813683445291,0.034692359344023,0.00478272940033002,0.004088623841393019,0.03352927139597601,1.4065446549589886e-07,1776.4124293934753,4.567570606524669
0.031100000000000003,0.11279546773633232,0.9968935428084613,0.0142905936313264,0.00548729337209794,0.034711676034488624,0.004934338308833583,0.004126641978719477,0.03358810286964873,1.1279546773633232e-07,1775.4474618710135,5.532538128986516
0.041100000000000005,0.09616893258619777,0.9964444860155051,0.014557863957527905,0.005517893587524193,0.03472398931470597,0.005054803367037182,0.00415572486364884,0.03363023795607248,9.616893258619776e-08,1774.6477007038943,6.3322992961057025
0.051100000000000007,0.08489345475658211,0.996052480152577,0.0147730516155937,0.005541621734032666,0.03473269467746262,0.005156871728678954,0.004179622519508254,0.033662899993985314,8.489345475658211e-08,1773.9495461021365,7.030453897863481
0.06110000000000001,0.0766479064109613,0.9956998784506377,0.014953578350318134,0.0055608619443350575,0.034739277522759425,0.005246734938726245,0.00420011963219096,0.03368947032503119,7.664790641096129e-08,1773.3215695230167,7.6584304769833125
0.07110000000000001,0.07030873633587158,0.9953765490182981,0.015109284124933356,0.0055769390909313245,0.034744503908085866,0.0053278852944299935,0.004218207594955976,0.033711802522517736,7.030873633587157e-08,1772.7457262706084,8.234273729391589
0.0811,0.06525776524680371,0.9950760879823374,0.015246277501797642,0.005590665083542545,0.03474881267813782,0.005402486870444743,0.004234493770158964,0.0337310197970336,6.52577652468037e-08,1772.2106111747833,8.769388825216765
0.0911,0.06112335421153421,0.9947941639298813,0.015368606885019554,0.005602572498331699,0.034752474487567846,0.005471970527278636,0.004249376463409403,0.03374785207814387,6.112335421153421e-08,1771.70851007584,9.27148992416005
0.1011,0.05766703094489985,0.9945276941344867,0.015479087658892563,0.005613028713932975,0.034755665725098084,0.005537328352384862,0.004263130381630682,0.03376279899821687,5.766703094489984e-08,1771.2339326996382,9.746067300361801
0.11109999999999999,0.054727922711538646,0.9942743950038267,0.015579751833551796,0.00562229723593266,0.03475850639725507,0.005599273707632282,0.004275952537914237,0.03377621664208103,5.4727922711538646e-08,1770.7828120139154,10.1971879860846
0.12109999999999999,0.05219312031863362,0.9940325190867806,0.015672110411766145,0.005630573097416001,0.034761081023579256,0.005658334617339507,0.004287988745143981,0.03378836718993924,5.219312031863362e-08,1770.3520358431745,10.627964156825556
0.1311,0.049980792584277595,0.9938006926284909,0.015757315223402017,0.005638004477278769,0.03476345084493449,0.005714911382838586,0.004299349792205104,0.03379944898637314,4.998079258427759e-08,1769.9391575574898,11.040842442510211
