v,Cs_C,Cs_Mn,Cs_Al,T
0.0006000000000000001,0.0016452913154590193,0.0036437435002317506,0.03721110225090485,1797.2982033032372
0.0011,0.001649762196969325,0.0036445206221356777,0.03720973225627953,1797.29672091488
0.0016,0.0016542284662924703,0.003645296828012874,0.03720836416621036,1797.295215625876
0.0021000000000000003,0.0016586901305805659,0.0036460721195229547,0.03720699797591766,1797.2936874895875
0.0026000000000000003,0.001663147197383438,0.0036468464984250083,0.03720563368181704,1797.2921366050725
0.0031000000000000003,0.0016675996747466542,0.00364761996639777,0.037204271276213945,1797.2905631479418
0.0036000000000000003,0.001672047569970342,0.003648392525057412,0.037202910756526215,1797.288967190827
0.0041,0.0016764908907658579,0.0036491641761562396,0.03720155211548884,1797.2873488741022
0.0046,0.0016809296448156322,0.003649934921318369,0.03720019534791002,1797.2857083369104
0.0051,0.001685363839672425,0.0036507047622655123,0.03719884044899403,1797.284045690539
0.005600000000000001,0.0016897934829762555,0.0036514737006720795,0.0371974874129905,1797.2823610650912
0.006100000000000001,0.0016942185823281336,0.003652241738159879,0.03719613623351948,1797.280654603609
0.006600000000000002,0.0016986391450701398,0.003653008876349424,0.037194786907205964,1797.2789263799248
0.007100000000000002,0.0017030551788631326,0.00365377511701358,0.037193439428110854,1797.2771765404223
0.007600000000000003,0.0017074666913224012,0.003654540461764239,0.03719209378994526,1797.2754052333821
0.008100000000000003,0.00171187368957187,0.0036553049121793983,0.037190749989387185,1797.2736125153472
0.008600000000000003,0.0017162761814879357,0.003656068469959323,0.037189408019824684,1797.271798570059
0.009100000000000004,0.001720674174121161,0.003656831136738664,0.03718806787737655,1797.2699634526803
0.009600000000000004,0.0017250676751859153,0.0036575929140997016,0.0371867295553628,1797.2681073347153
0.010100000000000005,0.0017294566919781491,0.003658353803717714,0.03718539304937941,1797.2662303111495
0.010600000000000005,0.0017338412318134526,0.003659113807213357,0.037184058354625606,1797.2643324783326
0.011100000000000006,0.001738221302141516,0.0036598729261766686,0.03718272546623784,1797.2624139771162
0.011600000000000006,0.0017425969103005868,0.003660631162261832,0.037181394378282474,1797.2604749182938
0.012100000000000007,0.001746968063525524,0.0036613885169974915,0.03718006508668075,1797.2585153928562
0.012600000000000007,0.0017513347691785791,0.003662144992094951,0.0371787375863521,1797.2565355325114
0.013100000000000007,0.0017556970345873918,0.0036629005890706644,0.037177411871083636,1797.2545354523668
0.013600000000000008,0.0017600548669315392,0.0036636553095468023,0.03717608793752921,1797.2525152477897
0.014100000000000008,0.0017644082735320797,0.003664409155125285,0.03717476578026676,1797.2504750392861
0.014600000000000009,0.0017687572616548316,0.0036651621274063568,0.0371734453937372,1797.2484149479017
0.01510000000000001,0.0017731018382983138,0.0036659142279109333,0.03717212677469033,1797.2463350407716
0.01560000000000001,0.0017774420108885693,0.003666665458249596,0.03717080991620312,1797.2442354715085
0.01610000000000001,0.0017817777863853084,0.003667415820018833,0.037169494815601264,1797.2421163092192
0.01660000000000001,0.0017861091721290971,0.003668165314774279,0.037168181466877205,1797.2399776865038
0.01710000000000001,0.0017904361751111381,0.0036689139440753762,0.03716686986507241,1797.2378196936834
0.01760000000000001,0.00179475880260014,0.0036696617094697168,0.03716556000620968,1797.2356424568075
0.018100000000000012,0.001799077061558853,0.003670408612508967,0.03716425188491618,1797.2334460581496
0.018600000000000012,0.0018033909591408926,0.0036711546547802203,0.037162945496950366,1797.231230610766
0.019100000000000013,0.0018077005023141445,0.0036718998378098685,0.0371616408376547,1797.228996207143
0.019600000000000013,0.001812005698265498,0.003672644163120961,0.03716033790204148,1797.2267429709111
0.020100000000000014,0.0018163065539329238,0.0036733876322876603,0.03715903668571919,1797.2244709856118
0.020600000000000014,0.0018206030763134626,0.003674130246829544,0.037157737184054726,1797.2221803576506
0.021100000000000015,0.0018248952724145933,0.0036748720082852545,0.0371564393924993,1797.219871184459
0.021600000000000015,0.00182918314924219,0.003675612918176615,0.037155143306586605,1797.217543572178
0.022100000000000015,0.001833466713746505,0.003676352978002772,0.03715384892129334,1797.2151976225193
0.022600000000000016,0.0018377459728614754,0.003677092189314806,0.03715255623229224,1797.212833426572
0.023100000000000016,0.0018420209334124484,0.003677830553597857,0.0371512652358857,1797.2104510726335
0.023600000000000017,0.0018462916024066182,0.003678568072410783,0.03714997592654253,1797.2080506702628
0.024100000000000017,0.0018505579867458466,0.003679304747196745,0.03714868830012826,1797.2056323237823
0.024600000000000018,0.0018548200931553884,0.003680040579499415,0.0371474023527032,1797.2031960995196
0.025100000000000018,0.0018590779286669782,0.0036807755707992003,0.03714611807918841,1797.2007421260264
0.02560000000000002,0.001863331500004664,0.0036815097225954873,0.037144835475351086,1797.1982704808297
0.02610000000000002,0.0018675808140238745,0.003682243036392394,0.03714355453712023,1797.1957812623764
0.02660000000000002,0.0018718258775041548,0.0036829755136430047,0.037142275260024005,1797.1932745615932
0.02710000000000002,0.0018760666973115705,0.003683707155870416,0.03714099763920635,1797.1907504842404
0.02760000000000002,0.0018803032800772225,0.003684437964525756,0.03713972167094202,1797.1882091000496
0.02810000000000002,0.0018845356326106988,0.0036851679410647635,0.03713844735105528,1797.185650511672
0.02860000000000002,0.00188876376166001,0.0036858970870214504,0.037137174674931384,1797.1830748126597
0.02910000000000002,0.0018929876739136665,0.003686625403787466,0.03713590363850278,1797.1804820879588
0.029600000000000022,0.0018972073761262124,0.003687352892870108,0.03713463423709742,1797.1778724365613
0.030100000000000023,0.0019014228749394766,0.0036880795557258333,0.037133366466947634,1797.1752459418383
