v,R_scaled,T_scaled,cl_C,cl_Mo,cl_Mn,cl_Si,cs_C,cs_Mo,cs_Mn,cs_Si,R,T,DT
0.0001,1.1550291897273277,0.9993954644464058,0.0167049749058628,0.013196053335517937,0.004594969354071116,0.005018638391829995,0.004951177749832345,0.008009785730671048,0.0035410469153197527,0.0033348358394815576,1.1550291897273276e-06,1764.7125232101744,1.067476789825605
0.00030000000000000003,0.6467512565559939,0.9990744242809908,0.016969144297189088,0.013310983443507285,0.004617855080497875,0.005055479327841385,0.005033308174365377,0.008068775148631496,0.003559579832502179,0.003360578087593324,6.467512565559938e-07,1764.1456369068878,1.6343630931121425
0.0005,0.4957168352053609,0.9988718075384667,0.017132721043092287,0.013381627693913007,0.004631768665980845,0.005077966371258636,0.005084426376063774,0.008105026821320797,0.0035709028278481008,0.0033763697171865156,4.957168352053609e-07,1763.7878603152737,1.9921396847262258
0.0007,0.41612722823460807,0.9987154386968595,0.01725719977407928,0.013435124000399801,0.004642226732103977,0.005094913666167789,0.005123485012719536,0.008132493118223958,0.0035794468892875026,0.0033883176452432703,4.1612722823460807e-07,1763.5117473421406,2.2682526578594207
0.0009,0.36509440017167916,0.998585177657578,0.017359704466242732,0.013479008248256262,0.004650755220551985,0.005108763010450929,0.005155763850162941,0.00815504248978634,0.0035864383366929114,0.003398114749266202,3.6509440017167915e-07,1763.281735004198,2.4982649958019465
0.0011,0.3288303524902373,0.9984720966301196,0.017447803135260356,0.013516604463663274,0.004658025362987428,0.005120589660181059,0.0051835969299198256,0.008174379414427899,0.0035924168133393097,0.0034065068267906643,3.288303524902373e-07,1763.0820587875326,2.6979412124674127
0.0031000000000000003,0.19088762928282962,0.9977341811560836,0.01800197601531407,0.013750584184403527,0.004702510144842097,0.005193382130963703,0.005361034389949107,0.008295420775362673,0.0036294640750964796,0.003458803284620429,1.908876292828296e-07,1761.7790624017894,4.000937598210612
0.0051,0.14649630951756004,0.9972652205676606,0.018334904988003525,0.013889093264095737,0.004728216099858869,0.0052357965887617165,0.005470148322133879,0.008368038608707431,0.0036513554332056834,0.003489936311000695,1.4649630951756003e-07,1760.9509811739638,4.82901882603619
0.0071,0.12265702459725628,0.9969012777454963,0.018582608655652304,0.01399114750484906,0.004746850530629157,0.005266715226122093,0.005552942401379909,0.008422275895426599,0.0036675268248401952,0.003513040416849081,1.2265702459725626e-07,1760.3083382174425,5.471661782557476
0.0091,0.10724180421681291,0.9965964104404539,0.0187827805763135,0.014072991420429561,0.004761603212619249,0.005291302276726661,0.00562106170476963,0.008466366694673594,0.003680552940341882,0.0035317138868155335,1.0724180421681291e-07,1759.7700096275446,6.009990372455377
