,v,T,kv_C,kv_Mo,kv_Mn,kv_Si
0,0.0001,1769.5807505228624,0.1561843815618438,0.7237276272372762,0.7187281271872813,0.6726327367263273
1,0.0051,1769.5632354173588,0.16038205153716045,0.7251019799024971,0.7201273505123867,0.6742612675355685
2,0.010100000000000001,1769.5417750786253,0.16453816453816453,0.7264627264627265,0.7215127215127215,0.6758736758736759
3,0.015100000000000002,1769.5165817960494,0.16865333464683283,0.7278100679735987,0.7228844448822777,0.6774701999802976
4,0.020100000000000003,1769.4878542873555,0.17272816390549944,0.7291442015488677,0.7242427213018332,0.679051073424174
5,0.025100000000000004,1769.4557788346492,0.17676324261047704,0.7304653204565409,0.7255877475368258,0.6806165252170521
6,0.030100000000000005,1769.420530298743,0.1807591495971265,0.7317736142122124,0.7269197165323755,0.6821667799242792
7,0.035100000000000006,1769.3822730277411,0.18471645251666505,0.7330692686696938,0.7282388175055551,0.683702057772196
8,0.040100000000000004,1769.3411616733802,0.1886357081049899,0.734352466109028,0.7295452360349967,0.6852225747524276
9,0.0451,1769.2973419266,0.1925174624437853,0.7356233853219789,0.7308391541479285,0.6867285427231844
10,0.0501,1769.2509511821345,0.19636225121417006,0.7368822016950767,0.7321207504047234,0.688220169507666
11,0.055099999999999996,1769.2021191405108,0.20017059994313335,0.7381290872903044,0.7333901999810445,0.6896976589896693
12,0.060099999999999994,1769.150968354679,0.2039430242429959,0.7393642109234978,0.7346476747476653,0.69116121120649
13,0.06509999999999999,1769.097614727504,0.2076800300441273,0.7405877382405408,0.7358933433480426,0.6926110224392077
14,0.0701,1769.0421679655315,0.2113821138211382,0.7417998317914214,0.7371273712737126,0.6940472853004391
15,0.0751,1768.9847319937276,0.2150497628127616,0.743000651102223,0.7383499209375873,0.6954701888196447
16,0.0801,1768.9254053352995,0.21868345523562632,0.7441903527451162,0.7395611517452086,0.6968799185260623
17,0.08510000000000001,1768.8642814601892,0.22228366049212056,0.7453690904064142,0.7407612201640402,0.6982766565293522
18,0.09010000000000001,1768.8014491054003,0.2258508393725346,0.7465370149527567,0.7419502797908448,0.6996605815980185
19,0.09510000000000002,1768.7369925699375,0.22938544425166651,0.7476942744954799,0.7431284814172223,0.7010318692356863
20,0.10010000000000002,1768.6709919868122,0.23288791928006541,0.7488410144532316,0.744295973093355,0.7023906917552949
21,0.10510000000000003,1768.6035235742934,0.23635870057008415,0.7499773776128857,0.7454529001900282,0.7037372183512804
22,0.11010000000000003,1768.5346598683284,0.23979821637690296,0.7511035041888119,0.7465994054589676,0.7050716151698044
23,0.11510000000000004,1768.464469937858,0.2432068872746839,0.7522195318805488,0.7477356290915614,0.7063940453770963
24,0.12010000000000004,1768.3930195845535,0.24658512632800642,0.753325595928935,0.7488617087760021,0.7077046692259619
25,0.12510000000000004,1768.3203715283482,0.24993333925873257,0.7544218291707404,0.7499777797529109,0.7090036441205227
26,0.13010000000000005,1768.2465855799903,0.2532519246084417,0.7555083620918503,0.7510839748694805,0.7102911246792318
27,0.13510000000000005,1768.1717188017178,0.256541273896573,0.7565853228790415,0.7521804246321911,0.7115672627962295
28,0.14010000000000006,1768.0958256570498,0.2598017717744057,0.7576528374703974,0.7532672572581351,0.7128322077010788
29,0.14510000000000006,1768.018958150583,0.26303379617500655,0.7587110296044014,0.7543445987250023,0.7140861060169418
30,0.15010000000000007,1767.9411659586062,0.2662377184592644,0.7597600208677506,0.7554125728197547,0.7153291018172332
31,0.15510000000000007,1767.8624965512556,0.2694139035581335,0.7607999307419271,0.7564713011860446,0.7165613366808069
32,0.16010000000000008,1767.7829953068767,0.2725627101111973,0.7618308766485649,0.757520903370399,0.7177829497457114
33,0.16510000000000008,1767.702705619193,0.2756844906016651,0.7628529739936486,0.7585614968672219,0.7189940777615657
34,0.17010000000000008,1767.6216689978232,0.27877959148790704,0.7638663362105803,0.7595931971626356,0.7201948551405862
35,0.1751000000000001,1767.5399251626475,0.2818483533316314,0.7648710748021446,0.7606161177772106,0.7213854140073186
36,0.1801000000000001,1767.457512132474,0.28489111092280317,0.7658672993814084,0.761630370307601,0.7225658842470977
37,0.1851000000000001,1767.3744663084194,0.2879081934014008,0.7668551177115855,0.7626360644671337,0.7237363935532867
38,0.1901000000000001,1767.290822552381,0.29089992437610285,0.7678346357448954,0.7636333081253676,0.7248970674733215
39,0.1951000000000001,1767.2066142609472,0.2938666220399967,0.7688059576604468,0.7646222073466656,0.7260480294536023
40,0.2001000000000001,1767.121873435065,0.2968085992833931,0.7697691859011749,0.7656028664277976,0.7271894008832597
41,0.20510000000000012,1767.036630745753,0.29972616380383377,0.7707244212098581,0.7665753879346113,0.7283213011368352
42,0.21010000000000012,1766.950915596131,0.3026196182133708,0.7716717626642426,0.7675398727377902,0.7294438476158994
43,0.21510000000000012,1766.86475618001,0.30548926014319816,0.7726113077112995,0.7684964200477328,0.7305571557896471
44,0.22010000000000013,1766.7781795372723,0.3083353823457094,0.7735431522006393,0.7694451274485697,0.731661339234489
45,0.22510000000000013,1766.6912116062485,0.31115827279405767,0.7744673904171089,0.7703860909313527,0.7327565096726799
46,0.23010000000000014,1766.6038772732868,0.31395821477928626,0.7753841151125925,0.7713194049264287,0.7338427770099991
47,0.23510000000000014,1766.5162004196936,0.31673548700510085,0.7762934175370415,0.7722451623350337,0.7349202493725205
48,0.24010000000000015,1766.4282039662082,0.3194903636803484,0.7771953874687526,0.773163454560116,0.7359890331424884
49,0.24510000000000015,1766.3399099151677,0.3222231146092684,0.7780901132439162,0.7740743715364229,0.7370492329933339
