v,Cs_C,Cs_Mo,Cs_Mn,Cs_Si,T
0.27760000000000024,0.007783773051843468,0.00931480075246126,0.0038407704842778247,0.0037085295613979844,1753.1959883885381
0.27810000000000024,0.007787768907645354,0.009316683153306981,0.003841188505567406,0.0037090986125762828,1753.1834607894975
0.27860000000000024,0.00779176099818761,0.009318563687226888,0.003841606051633369,0.003709667134586882,1753.1709526343138
0.27910000000000024,0.007795749328674042,0.009320442356814099,0.0038420231232672453,0.0037102351281786314,1753.1584638731474
0.27960000000000024,0.007799733904300856,0.00932231916465761,0.0038424397212562557,0.003710802594096306,1753.1459944569672
0.28010000000000024,0.007803714730248395,0.009324194113333597,0.0038428558463901004,0.0037113695330836523,1753.1335443352013
0.28060000000000024,0.007807691811694957,0.009326067205424029,0.003843271499451704,0.0037119359458844623,1753.121113459299
0.28110000000000024,0.00781166515380738,0.009327938443502432,0.0038436866812263065,0.003712501833238263,1753.1087017799978
0.28160000000000024,0.0078156347617418,0.009329807830136394,0.003844101392496139,0.00371306719588792,1753.0963092477118
0.28210000000000024,0.007819600640646428,0.009331675367891439,0.003844515634040807,0.0037136320345684485,1753.0839358139478
0.28260000000000024,0.007823562795660245,0.009333541059330075,0.0038449294066400944,0.003714196350019429,1753.0715814299535
0.28310000000000024,0.007827521231915898,0.009335404907010025,0.00384534271106901,0.0037147601429754883,1753.0592460474322
0.28360000000000024,0.00783147595453227,0.009337266913482998,0.003845755548104246,0.003715323414171545,1753.0469296176527
0.28410000000000024,0.007835426968620978,0.009339127081296993,0.0038461679185194985,0.0037158861643406004,1753.034632092464
0.28460000000000024,0.007839374279285324,0.009340985412996624,0.0038465798230866836,0.003716448394212639,1753.02235342359
0.28510000000000024,0.007843317891620587,0.00934284191112356,0.0038469912625751983,0.003717010104518974,1753.0100935635705
0.28560000000000024,0.007847257810711524,0.009344696578214752,0.0038474022377545073,0.0037175712959884016,1752.997852464475
0.28610000000000024,0.007851194041633166,0.00934654941679966,0.00384781274939114,0.0037181319693488195,1752.9856300784097
0.28660000000000024,0.007855126589452619,0.009348400429404411,0.0038482227982508184,0.003718692125323719,1752.9734263579428
0.28710000000000024,0.007859055459230407,0.009350249618561728,0.003848632385096228,0.0037192517646399254,1752.9612412564518
0.28760000000000024,0.007862980656013674,0.009352096986781789,0.0038490415106905425,0.0037198108880198122,1752.9490747260234
