v,Cs_C,Cs_Mn,Cs_Al,T
0.0006000000000000001,0.0016449496367964905,0.0036436895933532644,0.03721243018489916,1797.2427055184858
0.0011,0.0016491374861037245,0.003644422105240539,0.03721216112881806,1797.1951901522239
0.0016,0.001653322257126064,0.0036451539830353384,0.03721188885570321,1797.1478461274633
0.0021000000000000003,0.0016575039479154714,0.0036458852265904068,0.03721161338962331,1797.1006724640276
0.0026000000000000003,0.0016616825565810179,0.003646615835767942,0.0372113347544471,1797.0536681894807
0.0031000000000000003,0.0016658580812880192,0.0036473458104399016,0.03721105297384484,1797.0068323390299
0.0036000000000000003,0.0016700305202574572,0.003648075150487801,0.03721076807129284,1796.9601639554674
0.0041,0.0016741998717652593,0.0036488038558025655,0.03721048007007157,1796.9136620890731
0.0046,0.0016783661341417077,0.0036495319262841385,0.037210188993271276,1796.8673257975677
0.0051,0.0016825293057705878,0.003650259361842039,0.0372098948637916,1796.821154145989
0.005600000000000001,0.0016866893850888776,0.003650986162394585,0.03720959770434467,1796.7751462066954
0.006100000000000001,0.001690846370585723,0.0036517123278690857,0.03720929753745638,1796.7293010592073
0.006600000000000002,0.0016950002608022094,0.003652437858201727,0.03720899438546798,1796.68361779022
0.007100000000000002,0.0016991510543302262,0.0036531627533373445,0.037208688270539025,1796.638095493436
0.007600000000000003,0.001703298749812569,0.0036538870132295288,0.037208379214648625,1796.5927332696194
0.008100000000000003,0.001707443345941551,0.0036546106378402754,0.037208067239596285,1796.547530226393
0.008600000000000003,0.0017115848414589498,0.003655333627140063,0.037207752367005256,1796.5024854782716
0.009100000000000004,0.0017157232351553086,0.0036560559811075507,0.037207434618323626,1796.4575981465605
0.009600000000000004,0.0017198585258691216,0.00365677769972979,0.03720711401482549,1796.4128673592652
0.010100000000000005,0.0017239907124865339,0.003657498783001872,0.037206790577613495,1796.3682922510657
0.010600000000000005,0.001728119793940706,0.0036582192309268136,0.037206464327620384,1796.323871963229
0.011100000000000006,0.0017322457692110947,0.0036589390435156155,0.03720613528561001,1796.279605643547
0.011600000000000006,0.0017363686373230798,0.0036596582207871005,0.037205803472179194,1796.2354924462797
0.012100000000000007,0.001740488397347394,0.0036603767627677933,0.0372054689077609,1796.1915315320869
0.012600000000000007,0.0017446050483994977,0.0036610946694918675,0.03720513161262368,1796.1477220679724
0.013100000000000007,0.0017487185896390175,0.003661811941000971,0.03720479160687435,1796.1040632271986
0.013600000000000008,0.0017528290202694845,0.0036625285773442162,0.03720444891045829,1796.0605541892899
