,v,T,kv_C,kv_Mo,kv_Mn,kv_Si
0,0.0001,1774.5851071909103,0.2943940807892281,0.6118517530995867,0.7564324756699107,0.6430475936541794
1,0.0051,1774.5628632588628,0.29906634882796984,0.6144219308700836,0.7580452920143028,0.6454112038140645
2,0.010100000000000001,1774.5380045201462,0.30367714774371796,0.6169582949611893,0.75963688988291,0.647743717931851
3,0.015100000000000002,1774.5106687636096,0.308227682655862,0.6194615082995687,0.7612076852698993,0.6500457456541628
4,0.020100000000000003,1774.4809860832124,0.3127191273860538,0.6219322165952474,0.7627580833657968,0.6523178807947021
5,0.025100000000000004,1774.4490793895072,0.3171526254676815,0.6243710488969164,0.7642884789059475,0.6545607018449232
6,0.030100000000000005,1774.4150648800453,0.32152929111652356,0.6267786181258813,0.7657992565055761,0.6567747724650687
7,0.035100000000000006,1774.379052472652,0.3258502101643103,0.6291555215896065,0.7672907909820404,0.6589606419564387
8,0.040100000000000004,1774.3411462050708,0.3301164409568409,0.6315023414757625,0.7687634476648524,0.6611188457157321
9,0.0451,1774.3014446040993,0.3343290152182115,0.6338196453276318,0.7702175826940008,0.6632499056722425
10,0.0501,1774.260041026985,0.33848893888263965,0.6361079865016873,0.7716535433070866,0.6653543307086615
11,0.055099999999999996,1774.2170239775662,0.34259719289529256,0.6383679046081233,0.7730716681157621,0.667432617066203
12,0.060099999999999994,1774.1724773993772,0.3466547339834588,0.6405999259350696,0.7744722873719293,0.669485248734724
13,0.06509999999999999,1774.1264809477073,0.3506624953993375,0.6428045638571954,0.7758557232241442,0.6715126978284873
14,0.0701,1774.0791102424052,0.3546213876356542,0.6449823192293623,0.7772222899646385,0.6735154249481772
15,0.0751,1774.0304371030413,0.35853229911525875,0.6471336807659677,0.7785722942673614,0.6754938795297539
16,0.0801,1773.9805297678822,0.36239609685580054,0.6492591254065775,0.7799060354174195,0.6774485001807011
17,0.08510000000000001,1773.9294530979882,0.3662136271105257,0.651359118668423,0.7812238055322717,0.6793797150041913
18,0.09010000000000001,1773.8772687676305,0.3699857159861921,0.6534341149863111,0.7825258897750267,0.6812879419116771
19,0.09510000000000002,1773.8240354421014,0.37371317003904864,0.6554845580404686,0.7838125665601704,0.6831735889243876
20,0.10010000000000002,1773.7698089438989,0.37739677684978246,0.6575108810728151,0.7850841077520292,0.6850370544641808
21,0.10510000000000003,1773.714642408179,0.3810373055782949,0.6595135071921412,0.786340778856274,0.6868787276341948
22,0.11010000000000003,1773.6585864282865,0.38463550749912806,0.6614928496686432,0.7875828392047436,0.6886989884897106
23,0.11510000000000004,1773.601689192102,0.3881921165183217,0.6634493122182408,0.7888105421338574,0.6904982082996186
24,0.12010000000000004,1773.5439966098863,0.3917078496724514,0.6653832892770946,0.7900241351568784,0.6922767497988737
25,0.12510000000000004,1773.48555243424,0.3951834076105588,0.6672951662667124,0.7912238601302708,0.6940349674322935
26,0.13010000000000005,1773.4263983727408,0.3986194750596524,0.6691853198500172,0.7924099534143848,0.6957732075900467
27,0.13510000000000005,1773.366574193782,0.4020167212744323,0.6710541181787368,0.7935826460286972,0.6974918088351598
28,0.14010000000000006,1773.3061178260907,0.4053758004718571,0.6729019211324571,0.7947421638018201,0.699191102123357
29,0.14510000000000006,1773.2450654523566,0.40869735225114523,0.6747290805496594,0.7958887275164787,0.7008714110155291
30,0.15010000000000007,1773.1834515973826,0.4119820019997778,0.6765359404510609,0.7970225530496611,0.7025330518831241
31,0.15510000000000007,1773.121309211126,0.4152303612860458,0.6783228372555519,0.7981438515081206,0.7041763341067285
32,0.16010000000000008,1773.058669746968,0.4184430282386552,0.6800900999890123,0.7992528293594111,0.7058015602681025
33,0.16510000000000008,1772.9955632355363,0.4216205879138892,0.6818380504862857,0.8003496885586274,0.7074090263359195
34,0.17010000000000008,1772.9320183543655,0.42476361265079887,0.6835670035865667,0.8014346266710141,0.7089990218454516
35,0.1751000000000001,1772.8680624936671,0.4278726624148742,0.6852772673224518,0.8025078369905957,0.7105718300724247
36,0.1801000000000001,1772.8037218184616,0.4309482851306311,0.6869691431028921,0.8035695086549832,0.7121277282012687
37,0.1851000000000001,1772.739021327301,0.4339910170035291,0.6886429258902792,0.8046198267564966,0.7136669874879692
38,0.1901000000000001,1772.6739849077976,0.4370013828316137,0.6902989043718755,0.8056589724497394,0.7151898734177216
39,0.1951000000000001,1772.6086353891567,0.4399798963072692,0.6919373611258067,0.8066871230557613,0.7166966458575813
40,0.2001000000000001,1772.5429945919036,0.4429270603094412,0.6935585727818124,0.8077044521629302,0.7181875592042943
41,0.20510000000000012,1772.4770833749676,0.44584336718668205,0.6951628101769449,0.8087111297246361,0.719662862527484
42,0.21010000000000012,1772.4109216802906,0.448729299031351,0.6967503385064056,0.8097073221539423,0.7211227997083638
43,0.21510000000000012,1772.3445285751075,0.4515853279452907,0.6983214174696923,0.8106931924152937,0.7225676095741375
44,0.22010000000000013,1772.2779222920328,0.454411916297289,0.6998763014122257,0.8116689001133903,0.7239975260282445
45,0.22510000000000013,1772.2111202670897,0.4572095169726183,0.7014152394626192,0.8126346015793252,0.7254127781765973
46,0.23010000000000014,1772.1441391757953,0.4599785736149373,0.7029384756657484,0.8135904499540864,0.7268135904499541
47,0.23510000000000014,1772.0769949674193,0.46271952086082635,0.7044462491117655,0.8145365952695157,0.7282001827225663
48,0.24010000000000015,1772.0097028975188,0.46543278456721554,0.705938794061206,0.8154731845268155,0.7295727704272297
49,0.24510000000000015,1771.9422775588498,0.46811878203195667,0.707416340066325,0.8164003617726862,0.7309315646668677
