v,Cs_C,Cs_Mn,Cs_Al,T
0.0006000000000000001,0.0035494537404705652,0.0037055868993918707,0.03276954390059412,1782.717311925578
0.0011,0.0035539919607044997,0.003706484947070809,0.03277041676188853,1782.6981705973574
0.0016,0.003558524457901159,0.0037073817038398627,0.03277128823955512,1782.679082683822
0.0021000000000000003,0.0035630512423129135,0.0037082771724894436,0.032772158338346125,1782.660047946294
0.0026000000000000003,0.003567572324171073,0.00370917135580198,0.03277302706298832,1782.641066147474
0.0031000000000000003,0.0035720877136860953,0.0037100642565515737,0.03277389441818144,1782.6221370515093
0.0036000000000000003,0.0035765974210474564,0.0037109558775044074,0.03277476040859843,1782.603260423947
0.0041,0.003581101456423753,0.003711846221418591,0.032775625038888534,1782.58443603169
0.0046,0.003585599829962825,0.0037127352910442174,0.0327764883136733,1782.5656636430715
0.0051,0.003590092551791531,0.003713623089123274,0.03277735023754968,1782.5469430277642
0.005600000000000001,0.0035945796320160264,0.0037145096183898714,0.03277821081508896,1782.5282739568074
0.006100000000000001,0.0035990610807216657,0.0037153948815701943,0.032779070050837314,1782.5096562025979
0.006600000000000002,0.003603536907972903,0.0037162788813824713,0.032779927949316015,1782.4910895388623
0.007100000000000002,0.003608007123813723,0.0037171616205372003,0.03278078451502181,1782.472573740661
0.007600000000000003,0.0036124717382672203,0.0037180431017368133,0.032781639752426144,1782.4541085843773
0.008100000000000003,0.003616930761335833,0.0037189233276760953,0.03278249366597725,1782.4356938477044
0.008600000000000003,0.0036213842030014547,0.0037198023010419404,0.03278334626009799,1782.4173293096285
0.009100000000000004,0.0036258320732252326,0.0037206800245136572,0.032784197539188126,1782.3990147504323
0.009600000000000004,0.003630274381947753,0.0037215565007625326,0.0327850475076221,1782.3807499516884
0.010100000000000005,0.003634711139089104,0.003722431732452479,0.03278589616975321,1782.3625346962187
0.010600000000000005,0.003639142354548752,0.003723305722239502,0.03278674352990819,1782.34436876814
0.011100000000000006,0.003643568038205702,0.0037241784727720926,0.03278758959239239,1782.3262519527823
0.011600000000000006,0.0036479881999184373,0.003725049986691072,0.032788434361487456,1782.3081840367474
0.012100000000000007,0.003652402849525052,0.0037259202666296313,0.032789277841452136,1782.2901648078757
0.012600000000000007,0.0036568119968431972,0.0037267893152134884,0.03279012003652203,1782.2721940552149
0.013100000000000007,0.0036612156516701005,0.0037276571350608385,0.032790960950910525,1782.2542715690392
0.013600000000000008,0.0036656138237826153,0.003728523728782315,0.03279180058880784,1782.2363971408286
0.014100000000000008,0.0036700065229373488,0.0037293890989810916,0.032792638954382426,1782.218570563258
0.014600000000000009,0.003674393758870493,0.003730253248252856,0.03279347605178025,1782.2007916302052
0.01510000000000001,0.003678775541298099,0.003731116179186008,0.032794311885125146,1782.1830601367162
0.01560000000000001,0.003683151879915811,0.003731977894361449,0.03279514645851944,1782.165375879015
0.01610000000000001,0.0036875227843769154,0.0037328383963550643,0.0327959797761386,1782.1477386484896
0.01660000000000001,0.0036918882644036604,0.003733697687725965,0.03279681184175614,1782.130148261701
0.01710000000000001,0.003696248329564246,0.0037345557710402317,0.032797642659695085,1782.1126045003118
0.01760000000000001,0.003700602989474129,0.0037354126488499837,0.03279847223395637,1782.0951071653121
0.018100000000000012,0.003704952253794367,0.0037362683236908173,0.032799300568293215,1782.0776560762513
0.018600000000000012,0.0037092961320130584,0.003737122798110183,0.03280012766701129,1782.0602510131275
0.019100000000000013,0.0037136346337460617,0.0037379760746334206,0.03280095353378823,1782.0428917964646
0.019600000000000013,0.00371796776851264,0.003738828155782953,0.0328017781726805,1782.0255782272936
0.020100000000000014,0.0037222955458480686,0.0037396790440700025,0.03280260158750487,1782.0083101170803
0.020600000000000014,0.0037266179751794435,0.003740528742013921,0.03280342378240312,1781.9910872555854
0.021100000000000015,0.0037309350660493213,0.003741377252108246,0.03280424476095463,1781.9739094700328
0.021600000000000015,0.0037352468278894118,0.003742224576849415,0.03280506452717293,1781.9567765626107
0.022100000000000015,0.003739553270138193,0.003743070718722955,0.0328058830848133,1781.9396883451989
0.022600000000000016,0.003743854402207342,0.003743915680211006,0.03280670043771367,1781.9226446292994
0.023100000000000016,0.003748150233496436,0.0037447594637852145,0.032807516589701366,1781.9056452277114
0.023600000000000017,0.0037524407733776394,0.0037456020719147023,0.032808331544487625,1781.8886899540844
0.024100000000000017,0.003756726031213356,0.003746443507056563,0.03280914530589364,1781.8717786239458
0.024600000000000018,0.0037610060163367847,0.003747283771663449,0.03280995787760582,1781.8549110530232
0.025100000000000018,0.0037652807380632283,0.0037481228681786436,0.032810769263336606,1781.8380870577726
0.02560000000000002,0.0037695502056916143,0.003748960799044515,0.032811579466800515,1781.8213064565664
0.02610000000000002,0.0037738144285010327,0.003749797566694955,0.032812388491684934,1781.8045690679176
0.02660000000000002,0.0037780734157496177,0.003750633173545621,0.03281319634159592,1781.7878747139132
0.02710000000000002,0.0037823271766759337,0.003751467622022302,0.03281400302024742,1781.771223212666
0.02760000000000002,0.0037865757204979733,0.00375230091453636,0.03281480853120795,1781.754614387388
0.02810000000000002,0.0037908190564179896,0.0037531330534883614,0.032815612878097124,1781.738048061641
0.02860000000000002,0.0037950571936166133,0.0037539640412788517,0.03281641606449022,1781.721524058319
0.02910000000000002,0.0037992901412529177,0.0037547938802983774,0.03281721809395136,1781.7050422033653
0.029600000000000022,0.0038035179084768196,0.003755622572929594,0.03281801897003107,1781.6886023228699
0.030100000000000023,0.003807740504397249,0.00375645012155498,0.03281881869627927,1781.6722042419524
