,v,T,kv_C,kv_Mn,kv_Al
0,0.0001,1783.0857869510987,0.271697107052393,0.7065391281162512,0.9295093987468337
1,0.0051,1783.0639784698988,0.2765196662693683,0.7084823202224871,0.9299761620977355
2,0.010100000000000001,1783.0403656471135,0.28127877910801213,0.7103999473753453,0.9304367846336007
3,0.015100000000000002,1783.0150480722584,0.2859756894523592,0.7122925107829042,0.9308913867468305
4,0.020100000000000003,1782.9881194396407,0.2906116088819634,0.7141604986365409,0.9313400857031555
5,0.025100000000000004,1782.9596679680421,0.2951877177138434,0.7160043865307701,0.9317829957424847
6,0.030100000000000005,1782.929776784063,0.2997051660043584,0.7178246378669402,0.9322202281758749
7,0.035100000000000006,1782.8985242729016,0.30416507451280095,0.719621704241498,0.9326518914787925
8,0.040100000000000004,1782.8659843998773,0.3085685356284014,0.7213960258195165,0.9330780913808377
9,0.0451,1782.8322270056278,0.3129166142623569,0.7231480316941266,0.9334989309520815
10,0.0501,1782.7973180775493,0.31721034870641174,0.724878140232471,0.9339145106861643
11,0.055099999999999996,1782.7613199997631,0.32145075145944607,0.7265867594087692,0.9343249285803006
12,0.060099999999999994,1782.7242917836359,0.3256388100234539,0.7282742871250463,0.9347302802123194
13,0.06509999999999999,1782.6862892806523,0.3297754876702245,0.7299411115200589,0.9351306588148693
14,0.0701,1782.6473653792457,0.33386172417997806,0.7315876112669187,0.9355261553469089
15,0.0751,1782.6075701870225,0.33789843655314505,0.7332141558598957,0.9359168585625984
16,0.0801,1782.5669511996675,0.34188651969642214,0.7348211058908566,0.9363028550777015
17,0.08510000000000001,1782.5255534576763,0.34582684708418154,0.7364088133157707,0.9366842294336007
18,0.09010000000000001,1782.4834196919583,0.3497202713962624,0.7379776217117009,0.9370610641590287
19,0.09510000000000002,1782.4405904592406,0.35356762513312034,0.7395278665246716,0.9374334398296059
20,0.10010000000000002,1782.3971042681142,0.3573697212092695,0.7410598753087873,0.9378014351252794
21,0.10510000000000003,1782.3529976964842,0.3611273535259034,0.7425739679569641,0.9381651268857444
22,0.11010000000000003,1782.3083055011157,0.36484129752354383,0.7440704569236135,0.9385245901639344
23,0.11510000000000004,1782.2630607198953,0.36851231071552426,0.7455496474396025,0.9388798982776557
24,0.12010000000000004,1782.21729476738,0.3721411332030801,0.7470118377198023,0.9392311228594414
25,0.12510000000000004,1782.1710375241496,0.3757284881727803,0.7484573191635242,0.9395783339046966
26,0.13010000000000005,1782.1243174204271,0.37927508237700264,0.7498863765481196,0.9399215998182024
27,0.13510000000000005,1782.0771615144045,0.38278160659812455,0.7512992882160208,0.9402609874590442
28,0.14010000000000006,1782.0295955656584,0.3862487360970678,0.7526963262554769,0.9405965621840242
29,0.14510000000000006,1781.9816441040177,0.38967713104681045,0.7540777566752319,0.9409283878896213
30,0.15010000000000007,1781.9333304942086,0.39306743695144986,0.7554438395733807,0.9412565270525497
31,0.15510000000000007,1781.8846769965808,0.3964202850513756,0.7567948293006298,0.9415810407689758
32,0.16010000000000008,1781.8357048241865,0.3997362927150863,0.7581309746181739,0.9419019887924404
33,0.16510000000000008,1781.78643419647,0.403016063818162,0.7594525188503988,0.9422194295705387
34,0.17010000000000008,1781.736884389799,0.40626018910987943,0.7607597000326052,0.9425334202804043
35,0.1751000000000001,1781.6870737850502,0.40946924656793865,0.7620527510539402,0.9428440168630419
36,0.1801000000000001,1781.637019912453,0.41264380174174825,0.7633318997957208,0.9431512740565531
37,0.1851000000000001,1781.586739493869,0.4157844080846969,0.7645973692653193,0.9434552454282964
38,0.1901000000000001,1781.536248482675,0.4188916072758218,0.765849377725774,0.9437559834060206
39,0.1951000000000001,1781.4855621014121,0.4219659295312666,0.7670881388212887,0.9440535393080097
40,0.2001000000000001,1781.4346948773389,0.42500789390590477,0.7683138616987686,0.9443479633722766
41,0.20510000000000012,1781.3836606760224,0.4280180085854885,0.7695267511255367,0.9446393047848393
42,0.21010000000000012,1781.332472733098,0.4309967711696699,0.7707270076033746,0.9449276117071138
43,0.21510000000000012,1781.281143684303,0.4339446689462233,0.7719148274790177,0.9452129313024558
44,0.22010000000000013,1781.2296855938982,0.43686217915678804,0.773090403051232,0.9454953097618802
45,0.22510000000000013,1781.178109981573,0.43974976925443554,0.7742539226745975,0.9457747923289919
46,0.23010000000000014,1781.1264278479289,0.4426078971533518,0.7754055708601163,0.9460514233241506
47,0.23510000000000014,1781.0746496986233,0.44543701147091674,0.7765455283727541,0.9463252461679017
48,0.24010000000000015,1781.0227855672567,0.44823755176244834,0.7776739723260276,0.9465963034036966
49,0.24510000000000015,1780.9708450370797,0.45100994874886957,0.7787910762737413,0.9468646367199276
50,0.25010000000000016,1780.9188372615804,0.45375462453754634,0.7798970102989702,0.9471302869713029
51,0.25510000000000016,1780.8667709840292,0.4564719928365338,0.7809919411003879,0.9473932941995822
52,0.26010000000000016,1780.8146545560332,0.4591624591624593,0.782076032076032,0.9476536976536977
53,0.26510000000000017,1780.7624959551579,0.46182642104226196,0.7831494434045908,0.9479115358092799
54,0.2701000000000002,1780.710302801671,0.4644642682089992,0.7842123321243015,0.9481668463876091
55,0.2751000000000002,1780.6580823744598,0.4670763827919229,0.7852648522095405,0.9484196663740123
56,0.2801000000000002,1780.6058416261606,0.46966313950101946,0.7863071546451802,0.9486700320357246
57,0.2851000000000002,1780.5535871975533,0.4722249058062024,0.7873393874987924,0.9489179789392329
58,0.2901000000000002,1780.5013254312566,0.4747620421113356,0.7883616959907701,0.9491635419671185
59,0.2951000000000002,1780.4490623847603,0.47727490192326105,0.7893742225624344,0.9494067553344178
