v,Cs_C,Cs_Mo,Cs_Mn,Cs_Si,T
0.6300999999999861,0.007751214913148266,0.01093493785319064,0.003894888464503151,0.004070551350298193,1762.126987952967
0.6305999999999861,0.007753752479472825,0.0109356269859068,0.003895135605543236,0.004070844113209902,1762.1187665608866
0.631099999999986,0.007756288504232917,0.010936315655791177,0.003895382570551017,0.004071136686668086,1762.1105469562121
0.631599999999986,0.007758822988844571,0.010937003863310342,0.003895629359708991,0.004071429070852779,1762.102329139712
0.6320999999999859,0.007761355934722892,0.010937691608930817,0.0038958759731994945,0.004071721265944104,1762.0941131122258
0.6325999999999858,0.007763887343281123,0.010938378893117339,0.003896122411204458,0.004072013272121666,1762.0858988746022
0.6330999999999858,0.007766417215931367,0.010939065716336217,0.003896368673905631,0.004072305089565432,1762.0776864277977
0.6335999999999857,0.007768945554082294,0.010939752079050276,0.0038966147614845916,0.004072596718454676,1762.0694757724273
0.6340999999999857,0.00777147235914249,0.010940437981723708,0.003896860674122447,0.004072888158968546,1762.06126690943
0.6345999999999856,0.007773997632517962,0.010941123424819297,0.0038971064120002226,0.004073179411286045,1762.0530598395824
0.6350999999999856,0.0077765213756129485,0.0109418084087996,0.0038973519752989088,0.00407347047558607,1762.0448545636568
0.6355999999999855,0.007779043589830918,0.010942492934126196,0.0038975973641987233,0.004073761352046835,1762.0366510825747
0.6360999999999855,0.007781564276572418,0.01094317700126011,0.003897842578880037,0.004074052040846712,1762.0284493970603
0.6365999999999854,0.00778408343723678,0.010943860610661974,0.003898087619523018,0.004074342542163918,1762.020249507921
0.6370999999999853,0.007786601073221132,0.010944543762791456,0.0038983324863072215,0.0040746328561763025,1762.0120514158748
0.6375999999999853,0.0077891171859221404,0.010945226458107776,0.0038985771794123113,0.004074922983061268,1762.0038551218552
0.6380999999999852,0.007791631776733496,0.010945908697069627,0.003898821699017602,0.004075212922996433,1761.995660626568
0.6385999999999852,0.007794144847047325,0.010946590480134669,0.0038990660453020556,0.004075502676158945,1761.9874679307536
0.6390999999999851,0.0077966563982547815,0.010947271807760959,0.0038993102184446266,0.004075792242725692,1761.979277035268
0.6395999999999851,0.007799166431744335,0.010947952680404174,0.0038995542186236846,0.004076081622873422,1761.9710879407921
0.640099999999985,0.007801674948903541,0.0109486330985212,0.0038997980460176974,0.00407637081677866,1761.9629006481432
0.640599999999985,0.007804181951117869,0.01094931306256727,0.0039000417008047228,0.004076659824617722,1761.9547151580905
