,v,T,kv_C,kv_Mn,kv_Al
0,0.0001,1795.5127899850497,0.205979402059794,0.712928707129287,1.097990200979902
1,0.0051,1795.4965799950435,0.2099293602626604,0.7143567804198586,1.0975027360461647
2,0.010100000000000001,1795.4788342112886,0.21384021384021384,0.7157707157707157,1.0970200970200972
3,0.015100000000000002,1795.4596252218832,0.21771254063639053,0.7171707220963452,1.096542212589893
4,0.020100000000000003,1795.4390217476189,0.22154690716596412,0.718557004215273,1.0960690128418784
5,0.025100000000000004,1795.4170889013403,0.22534386889083996,0.7199297629499561,1.095600429226417
6,0.030100000000000005,1795.3938884254478,0.2291039704883021,0.7212891952237647,1.0951363945248036
7,0.035100000000000006,1795.3694789097904,0.23282774611148682,0.7226354941551542,1.0946768428171192
8,0.040100000000000004,1795.3439159919262,0.23651571964234208,0.7239688491491203,1.0942217094510145
9,0.0451,1795.3172525414923,0.24016840493732658,0.7252894459860301,1.0937709310113866
10,0.0501,1795.289538830218,0.24378630606608895,0.7265974669079135,1.0933244452909248
11,0.055099999999999996,1795.2608226889474,0.24736991754336085,0.7278930907023031,1.0928821912614919
12,0.060099999999999994,1795.231149652876,0.25091972455428735,0.7291764927836997,1.0924441090463164
13,0.06509999999999999,1795.200563096077,0.254436203173411,0.7304478452727444,1.0920101398929678
14,0.0701,1795.1691043562826,0.2579198205775161,0.7317073170731706,1.091580226147089
15,0.0751,1795.1368128507686,0.2613710352525347,0.7329550739466096,1.0911543112268627
16,0.0801,1795.1037261841204,0.2647902971947042,0.7341912785853161,1.0907323395981854
17,0.08510000000000001,1795.0698802485638,0.26817804810616536,0.7354160906828865,1.09031425675053
18,0.09010000000000001,1795.0353093174845,0.27153472158517566,0.7366296670030271,1.0899000091734703
19,0.09510000000000002,1795.0000461326945,0.2748607433111132,0.7378321614464434,1.0894895443338508
20,0.10010000000000002,1794.9641219859525,0.2781565312244342,0.7390237251158984,1.089082810653577
21,0.10510000000000003,1794.9275667951915,0.2814224957017465,0.7402045063795133,1.0886797574880103
22,0.11010000000000003,1794.8904091758718,0.2846590397261508,0.7413746509323483,1.0882803351049455
23,0.11510000000000004,1794.852676507833,0.2878665590529998,0.7425343018563358,1.0878844946641557
24,0.12010000000000004,1794.8143949979865,0.2910454423712169,0.7436835996786,1.0874921881974824
25,0.12510000000000004,1794.7755897391612,0.2941960714603147,0.7448226824282287,1.0871033685894589
26,0.13010000000000005,1794.7362847653828,0.297318821343244,0.7459516856915316,1.0867179895584462
27,0.13510000000000005,1794.6965031038505,0.300414060435204,0.7470707426658445,1.0863360056382698
28,0.14010000000000006,1794.6562668238432,0.3034821506885361,0.7481799842119111,1.0859573721603368
29,0.14510000000000006,1794.615597082774,0.30652344773382245,0.7492795389048992,1.085582045236224
30,0.15010000000000007,1794.574514169594,0.3095383010173029,0.7503695330840796,1.0852099817407184
31,0.15510000000000007,1794.5330375457224,0.31252705393472435,0.7514500909012207,1.0848411392952992
32,0.16010000000000008,1794.4911858836767,0.3154900439617275,0.7525213343677268,1.0844754762520472
33,0.16510000000000008,1794.4489771035535,0.3184276027808773,0.7535833834005665,1.0841129516779677
34,0.17010000000000008,1794.4064284075027,0.3213400564054355,0.7546363558670198,1.0837535253397146
35,0.1751000000000001,1794.3635563123282,0.32422772529997457,0.755680367628287,1.0833971576887074
36,0.1801000000000001,1794.3203766803326,0.327090924497924,0.7567155325819845,1.0830438098466233
37,0.1851000000000001,1794.2769047485233,0.3299299637161422,0.7577419627035694,1.0826934435912583
38,0.1901000000000001,1794.2331551562759,0.3327451474665995,0.7587597680867153,1.0823460213427443
39,0.1951000000000001,1794.1891419715591,0.33553677516525826,0.7597690569826794,1.082001506150113
40,0.2001000000000001,1794.1448787158035,0.3383051412382302,0.76076993583868,1.0816598616781936
41,0.20510000000000012,1794.100378387501,0.3410505352252926,0.761762509335325,1.0813210521948386
42,0.21010000000000012,1794.055653484608,0.34377324188083636,0.7627468804231055,1.0809850425584664
43,0.21510000000000012,1794.0107160258276,0.3464735412723234,0.7637231503579953,1.080651798205909
44,0.22010000000000013,1793.9655775708331,0.3491517088763217,0.7646914187361691,1.0803212851405624
45,0.22510000000000013,1793.9202492394973,0.3518080156721901,0.7656517835278753,1.079993469920823
46,0.23010000000000014,1793.8747417301824,0.35444272823347706,0.7666043411104787,1.079668319648809
47,0.23510000000000014,1793.8290653371498,0.3570561088170999,0.7675491863007045,1.0793458019593556
48,0.24010000000000015,1793.7832299671306,0.35964841545036697,0.7684864123860978,1.0790258850092735
49,0.24510000000000015,1793.737245155113,0.36221990201590243,0.7694161111557305,1.0787085374668701
50,0.25010000000000016,1793.6911200793847,0.36477081833453334,0.7703383729301655,1.07839372850172
51,0.25510000000000016,1793.644863575872,0.3673014102461956,0.77125328659071,1.0780814277746793
52,0.26010000000000016,1793.598484151816,0.3698119196889137,0.7721609396079676,1.0777716054281408
53,0.26510000000000017,1793.5519899988196,0.37230258477590716,0.773061418069718,1.0774642320765158
54,0.2701000000000002,1793.5053890052995,0.3747736398708764,0.7739548067081331,1.0771592787969453
55,0.2751000000000002,1793.4586887683752,0.37722531566151685,0.7748411889263588,1.076856717120226
56,0.2801000000000002,1793.411896605224,0.37965783923131013,0.7757206468244667,1.0765565190219515
57,0.2851000000000002,1793.3650195639307,0.38207143412963984,0.7765932612248075,1.0762586569138588
58,0.2901000000000002,1793.3180644338572,0.38446632044027607,0.7774591116967676,1.0759631036353772
59,0.2951000000000002,1793.2710377555566,0.38684271484827437,0.7783182765809591,1.075669832445371
